BBLCOUNT        1.0         0
0xb5cf0770 10005 3 12
0xb5cf07cb 10005 7 24
0xb5cf07e3 0 8 23
0xb5cf44ee 1800 2 9
0xb5cf4530 1800 3 17
0xb5cf44f7 1800 6 18
0xb5cf4509 0 8 23
0xb5cf455d 1800 4 18
0xb5cf456f 1800 2 4
0xb5cf4519 1800 3 7
0xb5cf4520 1800 6 16
0xb5cf44de 1800 3 15
0xb5cf4547 1800 7 22
0xb5cf4542 1800 2 5
0xb5cf44a0 1800 5 20
0xb5cf44b4 1800 7 27
0xb5cf44cf 1800 4 15
0xb5cf512b 1 3 5
0xb5cf5100 1 4 13
0xb5cf510d 1 6 30
0xb5cf7a24 22006 4 14
0xb5cf7ae8 22006 2 12
0xb5cf7a32 0 9 29
0xb5cf7a4f 0 9 28
0xb5cf7ab8 22006 2 9
0xb5cf7ac1 0 6 22
0xb5cf7a4f 0 9 28
0xb5cf7a32 22006 9 29
0xb5cf7af4 0 1 5
0xb5cf7a52 22006 8 25
0xb5cf79d0 22006 6 20
0xb5cf79e4 22006 6 21
0xb5cf79f9 0 9 43
0xb5cf7a70 22006 4 10
0xb5cf7a7a 0 11 42
0xb5cf7a07 22006 7 29
0xb5cf7b20 22006 4 8
0xb5cf7b70 22006 5 7
0xb5cf7b78 22006 3 6
0xb5cf7b40 0 1 5
0xb5cf7b28 0 7 24
0xb5cf7b40 22006 1 5
0xb5cf7b5f 0 12 24
0xb5cf7b28 22006 7 24
0xb5cf7b4d 0 7 18
0xb5cf7b45 22006 3 8
0xb5cf7b18 22006 2 4
0xb5cf7b5f 0 12 24
0xb5cf7b00 22006 10 24
0xb5cf7b55 22006 4 10
0xb5cf81d0 2 5 14
0xb5cf81de 2 5 16
0xb5cf81ee 0 3 11
0xb5cf81f9 0 9 30
0xb5cf8225 2 3 8
0xb5cf822d 2 7 22
0xb5cf82d0 2 8 34
0xb5cf82c0 2 4 16
0xb5cf82f2 2 2 4
0xb5cf82f6 2 12 35
0xb5cf8619 0 8 22
0xb5cf85d6 10201 5 14
0xb5cf85e4 10201 5 25
0xb5cf85c4 10201 4 18
0xb5cf85fd 10201 2 9
0xb5cf85a2 10201 8 34
0xb5cf8590 10201 5 18
0xb5cf86ab 10201 8 26
0xb5cf8606 10201 7 19
0xb5cf8623 10201 4 12
0xb5cf862f 0 2 4
0xb5cf8633 0 5 18
0xb5cf8758 10201 5 16
0xb5cf8768 10201 4 14
0xb5cf8776 0 1 5
0xb5cf862f 10201 2 4
0xb5cf8633 0 5 18
0xb5cf912e 11805 4 16
0xb5cf9149 10201 3 5
0xb5cf9120 22006 6 14
0xb5cf913e 11805 7 16
0xb5cf9418 1 3 11
0xb5cf93c4 1 2 9
0xb5cf93cd 1 2 9
0xb5cf93f8 11805 8 25
0xb5cf93d6 1 7 21
0xb5cf9470 11805 6 21
0xb5cf9468 1 2 8
0xb5cf94e0 10201 6 21
0xb5cf94f5 10201 1 5
0xb5cf93fd 10201 6 20
0xb5cf93d6 11804 7 21
0xb5cf93cd 11804 2 9
0xb5cf93c1 22005 3 12
0xb5cf9485 11805 2 9
0xb5cf948e 0 2 10
0xb5cf9380 22006 5 20
0xb5cf9394 22006 7 29
0xb5cf93b1 22006 2 5
0xb5cf93b6 22005 3 11
0xb5cf945c 1 2 12
0xb5cf943a 1 11 34
0xb5cf9423 1 3 12
0xb5cf942f 1 3 11
0xb5cfa071 1 3 10
0xb5cfa050 11805 5 20
0xb5cfa064 11805 4 13
0xb5cfa07b 1 7 32
0xb5cfa09b 11805 4 12
0xb5cfa082 11804 6 25
0xb5cfa374 2 4 13
0xb5cfa381 1 2 5
0xb5cfa39c 1 5 15
0xb5cfa386 1 7 22
0xb5cfa386 1 7 22
0xb5cfa39c 1 5 15
0xb5cfa360 2 5 20
0xb5cfa4f9 10120 2 4
0xb5cfa576 20000 6 8
0xb5cfa4ea 10120 4 8
0xb5cfa4b0 30120 8 18
0xb5cfa4c2 30120 4 18
0xb5cfa4d4 10120 7 22
0xb5cfa4f4 10120 2 5
0xb5cfa4fd 10120 9 25
0xb5cfa516 10000 8 19
0xb5cfa529 0 6 24
0xb5cfa570 10120 8 14
0xb5cfa508 478 5 14
0xb5cfa516 120 8 19
0xb5cfa529 0 6 24
0xb5cfa6ac 2 8 33
0xb5cfa6cd 2 13 64
0xb5cfa6a8 0 2 4
0xb5cfa660 2 10 40
0xb5cfa688 2 4 19
0xb5cfa69b 2 2 9
0xb5cfa6a4 2 2 4
0xb5cfad30 3 3 12
0xb5cfac93 0 6 16
0xb5cfad3c 0 2 9
0xb5cfac49 3 2 6
0xb5cfac4f 3 2 4
0xb5cfac53 0 4 11
0xb5cfad23 1 7 12
0xb5cfad02 0 7 33
0xb5cfac88 3 2 4
0xb5cfac8c 0 3 7
0xb5cfacfa 1 3 8
0xb5cface3 1 2 4
0xb5cfacd8 3 3 11
0xb5cfacc0 3 4 24
0xb5cfac4f 0 2 4
0xb5cfac49 0 2 6
0xb5cfac3e 3 3 11
0xb5cfac0b 0 4 12
0xb5cfac02 0 3 9
0xb5cfab40 1 5 9
0xb5cfab49 1 7 31
0xb5cfab68 1 5 22
0xb5cfab7e 0 3 15
0xb5cfabb9 1 5 28
0xb5cfabd5 1 3 13
0xb5cfabf8 3 3 10
0xb5cfada0 1 5 9
0xb5cfada9 1 4 21
0xb5cfadd0 1 6 21
0xb5cfadbe 1 4 18
0xb5cfadf4 0 3 11
0xb5cfade5 1 3 15
0xb5cfadd8 2 4 13
0xb5cfaed2 1 7 12
0xb5cfaec0 3 4 18
0xb5cfade5 0 3 15
0xb5d01410 20080 3 5
0xb5d01393 0 4 11
0xb5d0138f 20080 2 4
0xb5d01376 20080 7 25
0xb5d01370 20080 2 6
0xb5d053c1 0 3 7
0xb5d053bd 1 2 4
0xb5d053ba 0 3 7
0xb5d053b6 1 2 4
0xb5d053b0 0 3 6
0xb5d053c8 0 3 7
0xb5d053d6 1 3 3
0xb5d053b2 1 2 4
0xb5d053b6 0 2 4
0xb5d052d2 1 4 15
0xb5d053a9 1 3 7
0xb5d05220 1 11 34
0xb5d05242 1 3 6
0xb5d05248 0 3 10
0xb5d0524a 1 2 8
0xb5d05252 1 3 9
0xb5d0525b 1 3 6
0xb5d05261 1 3 10
0xb5d0526b 1 3 9
0xb5d0527c 1 2 8
0xb5d05284 1 2 3
0xb5d052c3 1 4 15
0xb5d05274 1 3 6
0xb5d052e1 1 4 11
0xb5d052ec 1 4 11
0xb5d052f7 1 4 16
0xb5d05307 1 4 15
0xb5d06670 10007 12 31
0xb5d0668f 10007 5 11
0xb5d0669a 10007 15 40
0xb5d066c2 0 3 8
0xb5d066a0 3112177 12 34
0xb5d066c2 10007 3 8
0xb5d066c8 10007 1 2
0xb5d066c8 30021 1 2
0xb5d066ca 10007 3 7
0xb5d066d1 10007 3 6
0xb5d095fd 20080 2 2
0xb5d094a0 20080 9 23
0xb5d09523 80 4 15
0xb5d09532 80 4 15
0xb5d09541 80 5 18
0xb5d09553 80 4 11
0xb5d095dc 80 3 7
0xb5d095e3 80 2 4
0xb5d095e7 80 3 5
0xb5d09514 80 4 15
0xb5d09503 80 5 17
0xb5d094c9 40 3 5
0xb5d094ce 0 3 10
0xb5d094d8 0 2 8
0xb5d0955e 40 4 11
0xb5d09569 0 4 11
0xb5d09574 0 5 14
0xb5d094b7 20040 3 10
0xb5d094c1 10040 2 8
0xb5d29a98 1 3 11
0xb5d5147a 22006 6 20
0xb5d51470 22006 2 10
0xb5d5148e 22006 3 8
0xb5d51496 22006 1 1
0xb5d62868 1 3 16
0xb5d62862 1 3 6
0xb5d62854 1 4 14
0xb5d62840 1 5 20
0xb5d6287c 1 11 37
0xb5d62878 1 2 4
0xb779d7e4 9 1 6
0xb779d7d4 19 1 6
0xb779d7c4 20 1 6
0xb779d9ff 1 5 12
0xb779da0f 0 8 42
0xb779d9f6 4 2 9
0xb779da0b 1 2 4
0xb779da0b 0 2 4
0xb779da04 3 3 7
0xb779d97a 1 3 7
0xb779da0b 0 2 4
0xb779da07 1 2 4
0xb779d9ec 1 3 10
0xb779d9c2 0 8 42
0xb779d9a7 1 6 27
0xb779d981 1 7 38
0xb779da0f 0 8 42
0xb779da39 1 1 5
0xb779da3e 1 1 5
0xb779da43 1 3 6
0xb779da49 0 4 22
0xb779da6d 1 14 64
0xb779daad 1 4 12
0xb779dab9 1 9 28
0xb779ded7 1 2 7
0xb779dec0 1 2 4
0xb779dede 1 17 49
0xb779df0f 1 3 11
0xb779ded0 1 2 7
0xb779df20 3 1 5
0xb779df25 3 3 13
0xb779df40 4 3 9
0xb779df50 4 3 9
0xb779e48e 1 3 7
0xb779e4e1 1 6 8
0xb779e430 1 6 11
0xb779e43b 1 9 37
0xb779e460 0 9 40
0xb779e466 1 8 34
0xb779e488 2 3 6
0xb779e495 1 3 6
0xb779e4a4 1 4 11
0xb779e4af 0 2 4
0xb779e4b3 0 3 8
